Batch ID,Number of Ballots
Precinct 1,730
Precinct 2,1578
Precinct 3,955
Precinct 4,609
Precinct 5,1279
Precinct 6,835
Precinct 7,875
Precinct 8,616
Precinct 9,680
Precinct 10,887
Precinct 11,601
Precinct 12,982
Precinct 13,491
Precinct 14,487
Precinct 15,869
Precinct 16,1002
Precinct-17,884
Precinct-18,843
Precinct 19,990
Precinct 20,1224
Precinct 21,766
Precinct 22,1013
Precinct 23,463
Precinct 24,577
Precinct 25,779
Precinct 26,847
Precinct 27,510
