Batch ID,Number of Ballots
"Ward 1 Precinct 1",910
"Ward 1 Precinct 2",833
"Ward 1 Precinct 3",736
"Ward 1 Precinct 4",800
"Ward 1 Precinct 5",793
"Ward 1 Precinct 6",635
"Ward 1 Precinct 7",879
"Ward 1 Precinct 8",813
"Ward 1 Precinct 9",695
"Ward 1 Precinct 10",367
"Ward 2 Precinct 11",791
"Ward 2 Precinct 12",949
"Ward 2 Precinct 13",728
"Ward 2 Precinct 14",780
