Batch ID,Number of Ballots
Absentee 1,171
Absentee 2,81
Absentee 3,101
Absentee 4,30
Absentee 5,261
Absentee 6,261
Absentee 7,197
Absentee 8,109
Absentee 9,128
Absentee 10,348
Absentee 11,118
Absentee 12,309
Absentee 13,51
Absentee 14,106
Absentee 15,147
Absentee 16,255
Absentee 17,181
Absentee 18,191
Absentee 19,223
Absentee 20,348
Absentee 21,303
Absentee 22,294
Absentee 23,213
Absentee 24,153
Absentee 25,291
Absentee 26,355
Absentee 27,69
